"학교명","학교급","주소"
"부구초등학교삼당분교장","초등학교","경상북도 울진군 북면 두천길 299"
"고잔초등학교","초등학교","경기도 안산시 단원구 적금로 182"
"서울중현초등학교","초등학교","서울특별시 노원구 섬밭로 181"
"고림초등학교","초등학교","경기도 용인시 처인구 한터로152번길 22"
"대경중학교","중학교","경기도 포천시 소흘읍 봉솔로 23"
"탄현초등학교","초등학교","경기도 파주시 탄현면 방촌로653번길 4"
"태광중학교","중학교","경기도 평택시 탄현1로 155"
"북삼고등학교","고등학교","경상북도 칠곡군 북삼읍 북삼로2길 130"
"해성고등학교","고등학교","경상남도 거제시 두모길 4"
"서울방현초등학교","초등학교","서울특별시 서초구 효령로4길 58"
"안중초등학교","초등학교","충청남도 태안군 안면읍 율포길 31"
"대구팔공중학교","중학교","대구광역시 동구 연경지묘로 150"
"영동중학교","중학교","경기도 수원시 영통구 영통로 225"
"문화고등학교","고등학교","경상북도 경주시 충현로 98"
"성석초등학교","초등학교","경기도 고양시 일산동구 문봉길 110"
"송산고등학교","고등학교","경기도 화성시 송산면 송산포도로 102-21"
"와석초등학교","초등학교","경기도 파주시 한빛로 7"
"화양중학교화양남분교장","중학교","전라남도 여수시 화양면 장수로 174"
"남양주고등학교","고등학교","경기도 남양주시 화도읍 경춘로2192번길 25"
"효자중학교","중학교","경기도 의정부시 부용로185번길 15"
"간재울중학교","중학교","인천광역시 서구 승학로512번길 34"
"대구복명초등학교","초등학교","대구광역시 수성구 범안로20길 8"
"영산포여자중학교","중학교","전라남도 나주시 이창1길 32"
"행신초등학교","초등학교","경기도 고양시 덕양구 중앙로 527"
"화성고등학교","고등학교","경기도 화성시 향남읍 장짐길 4"
"능동초등학교","초등학교","경기도 화성시 동탄원천로 315-27"
"문시초등학교","초등학교","경기도 오산시 여계산로 52-6"
"황룡초등학교","초등학교","경기도 고양시 일산서구 탄현로 75"
"구리초등학교","초등학교","경기도 구리시 경춘로276번길 51"
"군동초등학교","초등학교","전라남도 강진군 군동면 석교로 365"
"오마초등학교","초등학교","경기도 고양시 일산서구 주엽로 214"
"오동초등학교","초등학교","경기도 의정부시 용민로 151"
"대구범일초등학교","초등학교","대구광역시 수성구 범안로4길 22"
"서울염리초등학교","초등학교","서울특별시 마포구 토정로37길 37"
"가경중학교","중학교","충청북도 청주시 흥덕구 장구봉로 113"
"남양주덕송초등학교","초등학교","경기도 남양주시 별내3로 356"
"창수초등학교인천분교장","초등학교","경상북도 영덕군 창수면 오서로 1370"
"옥룡초등학교","초등학교","전라남도 광양시 옥룡면 신재로 607"
"한려초등학교","초등학교","경상남도 통영시 데메4길 50"
"남계초등학교","초등학교","경상북도 구미시 고아읍 봉한3길 16"
"용산초등학교","초등학교","전라남도 장흥군 용산면 용안로 13"
"원당초등학교","초등학교","충청북도 음성군 감곡면 음성로 2142"
"중동초등학교","초등학교","전라남도 구례군 산동면 관산구산길 49"
"오륜중학교","중학교","서울특별시 송파구 양재대로 1242"
"율동초등학교","초등학교","경기도 고양시 일산동구 산두로 223"
"이솔고등학교","고등학교","경기도 화성시 동탄대로 7길 10"
"성암초등학교","초등학교","충청북도 진천군 진천읍 금사로 359"
"창동초등학교","초등학교","경상남도 거창군 거창읍 동동1길 42"
"광동중학교","중학교","경기도 남양주시 진접읍 장현로광동1길 10"
"동두천초등학교","초등학교","경기도 동두천시 평화로2460번길 4"
"은봉초등학교","초등학교","경기도 양주시 백석읍 꿈나무로 321"
"신산초등학교","초등학교","경기도 파주시 광탄면 심궁로 13"
"송양초등학교","초등학교","경기도 의정부시 송양로 49"
"하천초등학교","초등학교","경상남도 창원시 의창구 북면 하천로 145"
"불로중학교","중학교","대구광역시 동구 방천로5길 8"
"각골초등학교","초등학교","경기도 안산시 상록구 석호로 384"
"청북중학교","중학교","경기도 평택시 청북읍 건의길 46"
"죽전중학교","중학교","경기도 용인시 수지구 용구대로2771번길 15"
"지도초등학교","초등학교","경기도 고양시 덕양구 성신로 49"
"청계초등학교","초등학교","전라남도 무안군 청계면 영산로 1870"
"포항중앙고등학교","고등학교","경상북도 포항시 북구 소티재로151번길 11"
"적서초등학교","초등학교","경기도 파주시 적성면 적서초교길 3"
"민락초등학교","초등학교","경기도 의정부시 용현로159번길 26"
"증약초등학교","초등학교","충청북도 옥천군 군북면 옥천로 1006-22"
"석곶초등학교","초등학교","경기도 파주시 책향기로 451"
"부산센텀여자고등학교","고등학교","부산광역시 해운대구 해운대로469번길 50-1"
"진남초등학교","초등학교","광주광역시 남구 효우로60번길 12"
"관양초등학교","초등학교","경기도 안양시 동안구 관평로336번길 23"
"정발초등학교","초등학교","경기도 고양시 일산동구 강송로 190"
"내손고등학교","고등학교","경기도 의왕시 내손순환로 51"
"동점초등학교","초등학교","강원특별자치도 태백시 방터골1길 59"
"봉성초등학교","초등학교","경상북도 봉화군 봉성면 봉명로 550"
"영신중학교","중학교","대구광역시 동구 팔공로50길 32"
"세륜중학교","중학교","서울특별시 송파구 양재대로72길 41"
"대방초등학교","초등학교","경상남도 사천시 각산로 88"
"포담초등학교","초등학교","경기도 포천시 영중면 양문로 163"
"진서고등학교","고등학교","경상남도 진주시 수곡면 옥수로 625"
"삼례동초등학교","초등학교","전북특별자치도 완주군 삼례읍 삼봉4로 9"
"가조중학교","중학교","경상남도 거창군 가조면 가조가야로 1101-23"
"서울고일초등학교","초등학교","서울특별시 강동구 구천면로93길 20"
"풍양초등학교","초등학교","경상북도 예천군 풍양면 낙상1길 50-10"
"동곡초등학교","초등학교","경기도 부천시 원미구 안곡로 248"
"덕은초등학교","초등학교","경기도 고양시 덕양구 중앙로176번길 18-4"
"간동고등학교","고등학교","강원특별자치도 화천군 간동면 파로호로 945-21"
"법전중앙초등학교","초등학교","경상북도 봉화군 법전면 법전로 135"
"사북고등학교","고등학교","강원특별자치도 정선군 사북읍 소금강로 3640"
"거창덕유중학교","중학교","경상남도 거창군 위천면 화리골1길 56"
"호암중학교","중학교","경상남도 함안군 칠원읍 호암길 29"
"울릉초등학교","초등학교","경상북도 울릉군 울릉읍 도동길 172"
"저동초등학교","초등학교","경상북도 울릉군 울릉읍 봉래길 128-3"
"장곡고등학교","고등학교","경기도 시흥시 장곡로70번길 8"
"첨단고등학교","고등학교","광주광역시 광산구 산월로 12-17"
"초계중학교","중학교","경상남도 합천군 초계면 초계중앙로 83"
"부일전자디자인고등학교","고등학교","부산광역시 사하구 감천로73번길 36"
"천천중학교","중학교","경기도 수원시 장안구 정자로42번길 16"
"송학중학교","중학교","충청북도 제천시 송학면 송학로5길 7"
"일산양일중학교","중학교","경기도 고양시 일산동구 위시티3로 47"
"남면초등학교","초등학교","경기도 양주시 남면 개나리18길 100"
"담양남초등학교","초등학교","전라남도 담양군 담양읍 지침5길 14"
"내양초등학교","초등학교","경기도 구리시 동구릉로 485"
"남양주월문초등학교","초등학교","경기도 남양주시 와부읍 수레로 519"
"남양주양지초등학교","초등학교","경기도 남양주시 오남읍 진건오남로808번길 20-37"
"거제여자상업고등학교","고등학교","경상남도 거제시 거제면 동상3길 21"
"경북과학고등학교","고등학교","경상북도 포항시 남구 지곡로 130"
"위례중앙중학교","중학교","경기도 성남시 수정구 위례순환로 91"
"백운호수초등학교","초등학교","경기도 의왕시 백운중앙로 67"
"새봄초등학교","초등학교","경기도 화성시 병점노을로 19"
"조치원중학교","중학교","세종특별자치시 조치원읍 대첩로 90"
"남양주신촌초등학교","초등학교","경기도 남양주시 평내로 122"
